PRELIMINARY*********************************************************************
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
Cite Lemmon et al. [2019]
Generated: Tue Sep 21 16:29:08 2021
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1459
PRELIMINARY*********************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma, tau_noon
1067ML0046930020206369D01_DXXX,1067.4370,  24.0, 0.729, 0.036, 0.721
1071ML0047110020206392D01_DXXX,1071.5107,  26.0, 0.708, 0.036, 0.709
1072ML0047140020206395D01_DXXX,1072.4940,  26.4, 0.702, 0.036, 0.701
1072ML0047170020206404D01_DXXX,1072.6857,  26.5, 0.685, 0.035, 0.708
1074ML0047230020206515D01_DXXX,1074.3268,  27.3, 0.683, 0.035, 0.661
1074ML0047270020206527D01_DXXX,1074.4896,  27.4, 0.741, 0.036, 0.740
1077ML0047390020206590D01_DXXX,1077.5110,  28.8, 0.714, 0.036, 0.715
1077ML0047410020206593D01_DXXX,1077.6490,  28.9, 0.701, 0.035, 0.720
1079ML0047470020206602D01_DXXX,1079.3319,  29.6, 0.669, 0.035, 0.648
1081ML0047550020206639D01_DXXX,1081.3242,  30.6, 0.678, 0.035, 0.656
1081ML0047560020206642D01_DXXX,1081.5496,  30.7, 0.718, 0.036, 0.724
1082ML0047580020206783D01_DXXX,1082.6007,  31.2, 0.719, 0.036, 0.732
1086ML0047720020206986D01_DXXX,1086.4641,  33.0, 0.698, 0.036, 0.693
1088ML0047820020500145D01_DXXX,1088.2839,  33.9, 0.610, 0.035, 0.586
1088ML0047830020500148D01_DXXX,1088.4888,  34.0, 0.672, 0.037, 0.671
1093ML0047990020500317D01_DXXX,1093.5175,  36.3, 0.684, 0.036, 0.686
1098ML0048590020500385D01_DXXX,1098.4906,  38.6, 0.666, 0.036, 0.665
1099ML0048630020500394D01_DXXX,1099.3448,  39.0, 0.630, 0.035, 0.611
1105ML0048980020500754D01_DXXX,1105.2906,  41.7, 0.629, 0.035, 0.605
1105ML0048990020500771D01_DXXX,1105.5098,  41.8, 0.674, 0.036, 0.676
1107ML0049220020500882D01_DXXX,1107.4874,  42.8, 0.687, 0.036, 0.685
1111ML0049460020500972D01_DXXX,1111.3553,  44.5, 0.649, 0.036, 0.630
1111ML0049470020500975D01_DXXX,1111.4753,  44.6, 0.687, 0.036, 0.684
1118ML0049810020501099D01_DXXX,1118.3298,  47.7, 0.611, 0.035, 0.590
1118ML0049820020501102D01_DXXX,1118.4996,  47.8, 0.646, 0.036, 0.646
1120ML0049890020501128D01_DXXX,1120.5171,  48.7, 0.645, 0.036, 0.647
1120ML0049940020501154D01_DXXX,1120.6630,  48.8, 0.601, 0.035, 0.621
1123ML0050100020501163D01_DXXX,1123.5605,  50.1, 0.571, 0.036, 0.579
1128ML0050280020501229D01_DXXX,1128.4727,  52.3, 0.570, 0.036, 0.566
1138ML0050940020501304D01_DXXX,1138.3250,  56.8, 0.531, 0.035, 0.509
1138ML0050980020501327D01_DXXX,1138.5250,  56.9, 0.511, 0.036, 0.514
1146ML0051870030501632D01_DXXX,1146.5227,  60.5, 0.512, 0.036, 0.515
1149ML0051990030501743D01_DXXX,1149.6786,  61.9, 0.485, 0.035, 0.507
1152ML0052080020501797D01_DXXX,1152.3021,  63.1, 0.474, 0.035, 0.451
1152ML0052110020501802D01_DXXX,1152.5204,  63.2, 0.503, 0.036, 0.506
1156ML0052240020501947D01_DXXX,1156.4854,  64.9, 0.527, 0.036, 0.525
1156ML0052250020501950D01_DXXX,1156.6818,  65.0, 0.489, 0.035, 0.511
1159ML0052430020502043D01_DXXX,1159.3627,  66.2, 0.457, 0.036, 0.440
1159ML0052440020502046D01_DXXX,1159.5009,  66.3, 0.480, 0.036, 0.480
1163ML0052620020502205D01_DXXX,1163.6183,  68.1, 0.478, 0.036, 0.493
1168ML0052910020502403D01_DXXX,1168.4277,  70.3, 0.511, 0.036, 0.502
1170ML0053030020502422D01_DXXX,1170.5189,  71.2, 0.443, 0.036, 0.446
1173ML0053160020502469D01_DXXX,1173.6779,  72.6, 0.501, 0.035, 0.523
1175ML0053260020502503D01_DXXX,1175.5459,  73.5, 0.491, 0.036, 0.497
1176ML0053270020502506D01_DXXX,1176.3480,  73.9, 0.484, 0.035, 0.465
1182ML0053540020502593D01_DXXX,1182.5071,  76.6, 0.431, 0.036, 0.432
1187ML0053780020502733D01_DXXX,1187.3544,  78.8, 0.489, 0.035, 0.471
1188ML0053850020502770D01_DXXX,1188.5460,  79.3, 0.482, 0.036, 0.488
1194ML0054140020502882D01_DXXX,1194.3707,  81.9, 0.507, 0.036, 0.491
1195ML0054220020502916D01_DXXX,1195.5236,  82.5, 0.450, 0.036, 0.453
1197ML0054550020502944D01_DXXX,1197.4421,  83.3, 0.501, 0.036, 0.494
1199ML0054930020503174D01_DXXX,1199.5555,  84.3, 0.571, 0.036, 0.578
1201ML0055030020503232D01_DXXX,1201.5055,  85.2, 0.513, 0.036, 0.514
1204ML0055480020503432D01_DXXX,1204.6041,  86.6, 0.438, 0.036, 0.451
1214ML0055170020503468D01_DXXX,1214.5320,  91.0, 0.470, 0.036, 0.474
1216ML0055270020503531D01_DXXX,1216.3431,  91.9, 0.476, 0.035, 0.456
1216ML0055280020503534D01_DXXX,1216.5188,  92.0, 0.499, 0.036, 0.502
1222ML0056020020503650D01_DXXX,1222.4327,  94.6, 0.562, 0.036, 0.553
1222ML0056050020503674D01_DXXX,1222.5441,  94.7, 0.527, 0.036, 0.533
1229ML0056580020503746D01_DXXX,1229.5673,  97.9, 0.483, 0.036, 0.492
1234ML0057090020503844D01_DXXX,1234.5469, 100.2, 0.467, 0.036, 0.473
1235ML0057170020503868D01_DXXX,1235.3170, 100.5, 0.495, 0.035, 0.472
1237ML0057380020503937D01_DXXX,1237.6855, 101.6, 0.491, 0.035, 0.514
1238ML0057410020503940D01_DXXX,1238.4967, 102.0, 0.484, 0.036, 0.483
1241ML0057580020503952D01_DXXX,1241.6333, 103.5, 0.448, 0.036, 0.465
1246ML0058120020503988D01_DXXX,1246.3551, 105.7, 0.498, 0.035, 0.480
1246ML0058160020504018D01_DXXX,1246.5098, 105.7, 0.474, 0.036, 0.475
1246ML0058210020504021D01_DXXX,1246.7162, 105.8, 0.424, 0.035, 0.448
1253ML0058530020504119D01_DXXX,1253.5560, 109.0, 0.475, 0.036, 0.482
1254ML0058590020504123D01_DXXX,1254.5425, 109.5, 0.450, 0.036, 0.455
1258ML0058740020504175D01_DXXX,1258.3646, 111.3, 0.513, 0.036, 0.496
1258ML0058760020504179D01_DXXX,1258.5309, 111.4, 0.446, 0.036, 0.450
1258ML0058780020504183D01_DXXX,1258.6890, 111.4, 0.449, 0.035, 0.472
1263ML0059070020504264D01_DXXX,1263.6283, 113.8, 0.427, 0.036, 0.443
1263ML0059080020504267D01_DXXX,1263.6874, 113.8, 0.440, 0.035, 0.463
1265ML0059170020504299D01_DXXX,1265.3569, 114.6, 0.438, 0.035, 0.420
1265ML0059190020504303D01_DXXX,1265.5299, 114.6, 0.438, 0.036, 0.442
1268ML0059370020504342D01_DXXX,1268.5122, 116.1, 0.396, 0.036, 0.397
1268ML0059380030504345D01_DXXX,1268.6866, 116.1, 0.410, 0.035, 0.434
1272ML0059500020504499D01_DXXX,1272.4304, 117.9, 0.440, 0.036, 0.432
1272ML0059520030504503D01_DXXX,1272.5723, 118.0, 0.376, 0.036, 0.385
1275ML0059740020504575D01_DXXX,1275.5806, 119.5, 0.412, 0.036, 0.422
1277ML0059990020504698D01_DXXX,1277.5087, 120.4, 0.438, 0.036, 0.440
1277ML0060000020504708D01_DXXX,1277.7063, 120.5, 0.389, 0.035, 0.413
1280ML0060150020504756D01_DXXX,1280.3590, 121.8, 0.400, 0.036, 0.382
1280ML0060160030504759D01_DXXX,1280.5032, 121.8, 0.357, 0.036, 0.357
1286ML0060550020505043D01_DXXX,1286.3579, 124.6, 0.405, 0.036, 0.387
1286ML0060560030505046D01_DXXX,1286.5179, 124.7, 0.395, 0.036, 0.397
1286ML0060620020505054D01_DXXX,1286.6174, 124.8, 0.376, 0.036, 0.391
1290ML0060870020505160D01_DXXX,1290.6990, 126.8, 0.367, 0.035, 0.390
1291ML0060890020505186D01_DXXX,1291.5459, 127.2, 0.380, 0.036, 0.385
1292ML0060910020505191D01_DXXX,1292.3136, 127.6, 0.426, 0.035, 0.403
1292ML0060940020405197D01_DXXX,1292.5074, 127.7, 0.434, 0.036, 0.434
1297ML0061590020405396D01_DXXX,1297.5873, 130.2, 0.372, 0.036, 0.383
1299ML0061680020405483D01_DXXX,1299.5435, 131.1, 0.403, 0.036, 0.408
1301ML0061840020405539D01_DXXX,1301.5460, 132.1, 0.398, 0.036, 0.404
1302ML0061890020405570D01_DXXX,1302.3733, 132.5, 0.351, 0.036, 0.335
1303ML0061950020405713D01_DXXX,1303.5253, 133.1, 0.415, 0.036, 0.418
1306ML0062060020405761D01_DXXX,1306.3579, 134.5, 0.412, 0.036, 0.394
1306ML0062080020405766D01_DXXX,1306.5161, 134.6, 0.427, 0.036, 0.429
1309ML0062360020405805D01_DXXX,1309.6447, 136.2, 0.398, 0.036, 0.416
1312ML0062520020405851D01_DXXX,1312.3850, 137.6, 0.367, 0.036, 0.353
1312ML0062570020405877D01_DXXX,1312.5176, 137.6, 0.390, 0.036, 0.393
1313ML0062630020405910D01_DXXX,1313.5487, 138.1, 0.367, 0.036, 0.373
1314ML0062640020405914D01_DXXX,1314.3727, 138.6, 0.346, 0.036, 0.330
1314ML0062690020405947D01_DXXX,1314.5576, 138.7, 0.394, 0.036, 0.401
1319ML0063010020406019D01_DXXX,1319.4681, 141.2, 0.390, 0.036, 0.386
1321ML0063040020406024D01_DXXX,1321.5055, 142.2, 0.386, 0.037, 0.387
1326ML0063340020406123D01_DXXX,1326.5752, 144.8, 0.502, 0.036, 0.511
1328ML0063690020406137D01_DXXX,1328.4995, 145.8, 0.551, 0.037, 0.551
1331ML0063860020600009D01_DXXX,1331.4011, 147.3, 0.533, 0.036, 0.521
1331ML0063900020600014D01_DXXX,1331.5825, 147.4, 0.571, 0.036, 0.582
1333ML0063970020600042D01_DXXX,1333.5327, 148.4, 0.596, 0.037, 0.600
1336ML0064100020600108D01_DXXX,1336.3953, 149.9, 0.649, 0.036, 0.636
1336ML0064120020600113D01_DXXX,1336.5845, 150.0, 0.672, 0.036, 0.682
1340ML0064260020600150D01_DXXX,1340.6401, 152.2, 0.780, 0.036, 0.798
1343ML0064440020600213D01_DXXX,1343.4031, 153.6, 0.724, 0.036, 0.711
1343ML0064460030600218D01_DXXX,1343.6353, 153.8, 0.759, 0.036, 0.776
1345ML0064510020600248D01_DXXX,1345.5760, 154.8, 0.727, 0.036, 0.736
1347ML0064580030600273D01_DXXX,1347.3210, 155.7, 0.598, 0.035, 0.575
1347ML0064590020600276D01_DXXX,1347.5283, 155.8, 0.679, 0.037, 0.682
1350ML0064890020600372D01_DXXX,1350.5330, 157.5, 0.770, 0.037, 0.774
1350ML0064930020600383D01_DXXX,1350.6929, 157.5, 0.743, 0.035, 0.766
1354ML0065670020600558D01_DXXX,1354.3617, 159.5, 0.709, 0.036, 0.692
1354ML0065690020600563D01_DXXX,1354.4908, 159.6, 0.693, 0.036, 0.691
1354ML0065710020600568D01_DXXX,1354.7064, 159.7, 0.734, 0.035, 0.758
1356ML0066010020600747D01_DXXX,1356.6603, 160.8, 0.705, 0.036, 0.725
1361ML0066550020600925D01_DXXX,1361.3514, 163.3, 0.741, 0.036, 0.722
1361ML0066690020600930D01_DXXX,1361.5382, 163.5, 0.801, 0.037, 0.806
1366ML0066810020600969D01_DXXX,1366.5168, 166.2, 0.787, 0.037, 0.789
1370ML0067050020601164D01_DXXX,1370.5721, 168.5, 0.728, 0.037, 0.737
1371ML0067070020601169D01_DXXX,1371.3586, 168.9, 0.728, 0.036, 0.710
1371ML0067120020601174D01_DXXX,1371.5166, 169.0, 0.750, 0.037, 0.752
1371ML0067190020601203D01_DXXX,1371.6993, 169.1, 0.747, 0.035, 0.770
1379ML0067540020601349D01_DXXX,1379.3958, 173.4, 0.703, 0.036, 0.689
1379ML0067560020601354D01_DXXX,1379.5670, 173.5, 0.716, 0.037, 0.725
1383ML0067850020601436D01_DXXX,1383.6725, 175.9, 0.646, 0.035, 0.668
1384ML0067870020601441D01_DXXX,1384.3503, 176.3, 0.689, 0.036, 0.670
1384ML0067920020601443D01_DXXX,1384.4894, 176.3, 0.679, 0.037, 0.678
1386ML0068020020601611D01_DXXX,1386.5313, 177.5, 0.735, 0.037, 0.739
1398ML0068420020601684D01_DXXX,1398.6799, 184.5, 0.659, 0.035, 0.681
1400ML0068500020601730D01_DXXX,1400.3524, 185.5, 0.728, 0.036, 0.710
1400ML0068540020601735D01_DXXX,1400.4857, 185.6, 0.673, 0.037, 0.672
1400ML0068600020601747D01_DXXX,1400.6500, 185.7, 0.661, 0.036, 0.680
1402ML0068720020601801D01_DXXX,1402.5941, 186.9, 0.669, 0.037, 0.681
1402ML0068750020601805D01_DXXX,1402.6915, 186.9, 0.586, 0.035, 0.610
1404ML0068780020601836D01_DXXX,1404.5875, 188.0, 0.655, 0.037, 0.666
1408ML0068910020601908D01_DXXX,1408.4091, 190.3, 0.760, 0.036, 0.748
1408ML0068920020601912D01_DXXX,1408.5624, 190.4, 0.705, 0.037, 0.713
1413ML0069140020602018D01_DXXX,1413.3253, 193.3, 0.757, 0.035, 0.735
1413ML0069170020602020D01_DXXX,1413.5321, 193.4, 0.716, 0.037, 0.720
1413ML0069190020602025D01_DXXX,1413.6841, 193.5, 0.689, 0.035, 0.712
1415ML0069290020602044D01_DXXX,1415.6514, 194.7, 0.678, 0.036, 0.697
1416ML0069310020602046D01_DXXX,1416.5513, 195.2, 0.719, 0.037, 0.725
1417ML0069440020602056D01_DXXX,1417.3718, 195.7, 0.819, 0.036, 0.803
1420ML0070030020602152D01_DXXX,1420.6656, 197.7, 0.692, 0.036, 0.713
1421ML0070140020602205D01_DXXX,1421.5654, 198.2, 0.793, 0.038, 0.801
1422ML0070170020602343D01_DXXX,1422.3409, 198.7, 0.803, 0.036, 0.783
1426ML0070440020602394D01_DXXX,1426.3472, 201.2, 0.808, 0.036, 0.789
1426ML0070460020602396D01_DXXX,1426.5063, 201.3, 0.725, 0.037, 0.726
1426ML0070500020602403D01_DXXX,1426.6571, 201.3, 0.688, 0.036, 0.707
1428ML0070610020602437D01_DXXX,1428.4987, 202.5, 0.699, 0.037, 0.699
1429ML0070650020602446D01_DXXX,1429.5674, 203.1, 0.756, 0.037, 0.764
1433ML0070770020602516D01_DXXX,1433.4021, 205.5, 0.827, 0.036, 0.815
1433ML0070810020602520D01_DXXX,1433.5099, 205.6, 0.760, 0.037, 0.761
1433ML0070840020602530D01_DXXX,1433.6345, 205.7, 0.776, 0.036, 0.793
1437ML0071080020602581D01_DXXX,1437.5891, 208.1, 0.961, 0.037, 0.972
1440ML0071220020602628D01_DXXX,1440.3595, 209.8, 0.932, 0.036, 0.914
1440ML0071230020602629D01_DXXX,1440.6074, 210.0, 0.892, 0.037, 0.905
1443ML0071360020602667D01_DXXX,1443.5476, 211.8, 0.961, 0.038, 0.967
1447ML0071610020602711D01_DXXX,1447.3491, 214.2, 1.065, 0.036, 1.046
1447ML0071630020602713D01_DXXX,1447.4866, 214.3, 0.918, 0.037, 0.916
1447ML0071650020602718D01_DXXX,1447.6692, 214.4, 0.963, 0.036, 0.984
1449ML0071770020602796D01_DXXX,1449.4862, 215.6, 0.986, 0.037, 0.985
1454ML0071870020602951D01_DXXX,1454.5404, 218.8, 0.883, 0.037, 0.888
1455ML0072020020602994D01_DXXX,1455.5129, 219.4, 0.949, 0.037, 0.951
1456ML0072060020603007D01_DXXX,1456.5977, 220.1, 0.960, 0.037, 0.972
1457ML0072120020603013D01_DXXX,1457.5011, 220.7, 0.990, 0.037, 0.990
1458ML0072290020603016D01_DXXX,1458.3999, 221.2, 1.102, 0.036, 1.089
1458ML0072300020603020D01_DXXX,1458.5067, 221.3, 1.045, 0.037, 1.046
1459ML0072350020603045D01_DXXX,1459.5067, 221.9, 1.027, 0.037, 1.028
1463ML0073140020603205D01_DXXX,1463.5354, 224.5, 1.073, 0.037, 1.077
1467ML0073390020603281D01_DXXX,1467.4885, 227.0, 1.086, 0.037, 1.085
1467ML0073440020603285D01_DXXX,1467.7009, 227.2, 1.008, 0.035, 1.031
1468ML0073450020603289D01_DXXX,1468.3490, 227.6, 1.158, 0.036, 1.139
1472ML0073750020603407D01_DXXX,1472.5170, 230.3, 1.121, 0.037, 1.123
1476ML0074050020603469D01_DXXX,1476.3796, 232.8, 1.197, 0.036, 1.182
1476ML0074060020603473D01_DXXX,1476.4994, 232.9, 1.114, 0.037, 1.114
1480ML0074340020603523D01_DXXX,1480.5753, 235.5, 1.464, 0.037, 1.473
1485ML0074610020603597D01_DXXX,1485.3044, 238.6, 1.246, 0.035, 1.223
1486ML0074690020603633D01_DXXX,1486.6810, 239.5, 1.061, 0.035, 1.084
1489ML0074780020603644D01_DXXX,1489.4608, 241.3, 0.946, 0.036, 0.941
1492ML0075060020603672D01_DXXX,1492.3287, 243.2, 1.178, 0.035, 1.157
1492ML0075110020603833D01_DXXX,1492.5070, 243.3, 1.003, 0.037, 1.004
1493ML0075170020603845D01_DXXX,1493.6115, 244.0, 0.998, 0.036, 1.012
1496ML0075700020603885D01_DXXX,1496.4922, 245.9, 0.991, 0.037, 0.990
1499ML0075900020603920D01_DXXX,1499.3306, 247.7, 1.131, 0.035, 1.110
1499ML0075950020603927D01_DXXX,1499.4904, 247.8, 1.018, 0.036, 1.017
1502ML0076170020603972D01_DXXX,1502.4908, 249.8, 0.997, 0.036, 0.996
1507ML0076510020604068D01_DXXX,1507.5110, 253.0, 0.897, 0.036, 0.898
1507ML0076570020604085D01_DXXX,1507.6392, 253.1, 0.922, 0.036, 0.940
1508ML0076590020604090D01_DXXX,1508.2961, 253.6, 1.028, 0.035, 1.005
1513ML0076980020604206D01_DXXX,1513.3110, 256.8, 1.020, 0.035, 0.996
1513ML0077010020604212D01_DXXX,1513.5125, 257.0, 0.877, 0.036, 0.878
1515ML0077130020604230D01_DXXX,1515.5195, 258.3, 0.924, 0.037, 0.926
1518ML0077250020604250D01_DXXX,1518.4456, 260.2, 0.916, 0.037, 0.909
1518ML0077340020604259D01_DXXX,1518.5846, 260.3, 0.926, 0.037, 0.936
1518ML0077360020604264D01_DXXX,1518.7113, 260.3, 0.933, 0.035, 0.957
1522ML0077530020604289D01_DXXX,1522.2869, 262.7, 1.045, 0.035, 1.021
1522ML0077560020604295D01_DXXX,1522.5009, 262.8, 0.889, 0.036, 0.889
1525ML0077730020604346D01_DXXX,1525.5043, 264.8, 0.940, 0.036, 0.941
1529ML0077860020604444D01_DXXX,1529.3713, 267.3, 1.023, 0.036, 1.007
1529ML0077880020604446D01_DXXX,1529.4677, 267.3, 0.897, 0.036, 0.893
1529ML0077960020604455D01_DXXX,1529.6224, 267.4, 0.906, 0.037, 0.922
1532ML0078140020604476D01_DXXX,1532.5304, 269.3, 0.849, 0.037, 0.852
1537ML0078750020604516D01_DXXX,1537.3984, 272.5, 0.850, 0.036, 0.837
1537ML0078910020604563D01_DXXX,1537.5441, 272.6, 0.778, 0.037, 0.783
1541ML0079110020604632D01_DXXX,1541.4956, 275.1, 0.727, 0.036, 0.726
1544ML0079270020604655D01_DXXX,1544.3177, 276.9, 1.008, 0.035, 0.985
1544ML0079320020604677D01_DXXX,1544.4862, 277.0, 0.802, 0.036, 0.800
1544ML0079360020604682D01_DXXX,1544.6643, 277.2, 0.846, 0.036, 0.867
1545ML0079380020604687D01_DXXX,1545.5331, 277.7, 0.799, 0.037, 0.803
1551ML0079540020604712D01_DXXX,1551.3308, 281.4, 0.888, 0.035, 0.866
1551ML0079560020604717D01_DXXX,1551.4346, 281.5, 0.731, 0.036, 0.723
1554ML0079780020604752D01_DXXX,1554.4844, 283.4, 0.767, 0.036, 0.765
1555ML0079800020604754D01_DXXX,1555.4884, 284.1, 0.709, 0.036, 0.708
1559ML0079580020604807D01_DXXX,1559.2852, 286.5, 0.801, 0.035, 0.778
1559ML0079600020604809D01_DXXX,1559.4803, 286.6, 0.669, 0.036, 0.667
1559ML0079620020604814D01_DXXX,1559.6608, 286.7, 0.709, 0.036, 0.729
1561ML0079640020604819D01_DXXX,1561.4795, 287.8, 0.678, 0.036, 0.676
1565ML0079660020604824D01_DXXX,1565.3185, 290.3, 0.844, 0.035, 0.821
1565ML0079680020604829D01_DXXX,1565.4779, 290.4, 0.697, 0.036, 0.694
1568ML0079930020604862D01_DXXX,1568.5249, 292.3, 0.743, 0.037, 0.747
1573ML0080060020604896D01_DXXX,1573.3154, 295.3, 0.772, 0.035, 0.749
1573ML0080080020604898D01_DXXX,1573.4418, 295.3, 0.616, 0.037, 0.609
1573ML0080100020604900D01_DXXX,1573.5842, 295.4, 0.659, 0.037, 0.669
1576ML0080270020604915D01_DXXX,1576.5011, 297.2, 0.886, 0.037, 0.886
1580ML0080450020604951D01_DXXX,1580.2878, 299.6, 0.825, 0.035, 0.802
1580ML0080500020604957D01_DXXX,1580.5096, 299.7, 0.631, 0.037, 0.632
1583ML0080650020604981D01_DXXX,1583.6011, 301.6, 0.716, 0.036, 0.729
1585ML0080720020604993D01_DXXX,1585.3187, 302.7, 0.867, 0.035, 0.845
1585ML0080780020605005D01_DXXX,1585.5725, 302.8, 0.731, 0.037, 0.740
1590ML0081030020605056D01_DXXX,1590.4825, 305.8, 1.091, 0.037, 1.089
1594ML0081220020605146D01_DXXX,1594.3455, 308.1, 0.958, 0.036, 0.939
1595ML0081260020605156D01_DXXX,1595.5457, 308.9, 0.735, 0.036, 0.740
1597ML0081350020605182D01_DXXX,1597.4785, 310.0, 0.940, 0.037, 0.937
1598ML0081370020605184D01_DXXX,1598.4849, 310.6, 0.804, 0.037, 0.802
1599ML0081430020505266D01_DXXX,1599.3289, 311.1, 1.051, 0.036, 1.030
1599ML0081450020505270D01_DXXX,1599.4955, 311.2, 1.102, 0.037, 1.101
1599ML0081470020505274D01_DXXX,1599.6357, 311.3, 0.909, 0.036, 0.926
1600ML0081490020505307D01_DXXX,1600.5763, 311.9, 0.881, 0.037, 0.891
1601ML0081520020505318D01_DXXX,1601.6215, 312.5, 0.881, 0.036, 0.897
1602ML0081550020505445D01_DXXX,1602.2897, 312.9, 1.029, 0.035, 1.005
1602ML0081590020505450D01_DXXX,1602.4978, 313.0, 1.067, 0.037, 1.067
1603ML0081820020505492D01_DXXX,1603.5668, 313.7, 0.960, 0.037, 0.968
1607ML0082080020505520D01_DXXX,1607.4612, 316.0, 0.927, 0.037, 0.922
1608ML0082100020505525D01_DXXX,1608.3403, 316.5, 1.065, 0.036, 1.045
1610ML0082340020505613D01_DXXX,1610.4781, 317.7, 1.210, 0.037, 1.207
1614ML0082480020505647D01_DXXX,1614.5072, 320.1, 0.936, 0.037, 0.937
1615ML0082550020505653D01_DXXX,1615.3076, 320.6, 0.949, 0.035, 0.926
1617ML0082640020505668D01_DXXX,1617.4575, 321.8, 0.942, 0.037, 0.937
1618ML0082710020505684D01_DXXX,1618.4755, 322.4, 0.980, 0.037, 0.977
1619ML0082880020505712D01_DXXX,1619.4796, 323.0, 0.900, 0.037, 0.897
1620ML0083020020505758D01_DXXX,1620.5094, 323.6, 0.862, 0.037, 0.864
1621ML0083090020505763D01_DXXX,1621.3224, 324.0, 1.111, 0.035, 1.088
1621ML0083130020505768D01_DXXX,1621.6327, 324.2, 0.978, 0.036, 0.994
1625ML0083660020505833D01_DXXX,1625.4696, 326.4, 1.139, 0.037, 1.135
1626ML0083810020505866D01_DXXX,1626.4861, 327.0, 1.196, 0.037, 1.194
1628ML0084030020505902D01_DXXX,1628.3444, 328.1, 1.133, 0.036, 1.114
1628ML0084120020505904D01_DXXX,1628.5804, 328.2, 1.015, 0.037, 1.026
1629ML0084200020505919D01_DXXX,1629.4630, 328.7, 1.269, 0.037, 1.264
1629ML0084220020505924D01_DXXX,1629.6241, 328.8, 1.068, 0.037, 1.083
1635ML0084430020700071D01_DXXX,1635.3424, 332.0, 1.226, 0.036, 1.206
1637ML0084560020700104D01_DXXX,1637.4111, 333.2, 1.112, 0.036, 1.101
1640ML0084840020700134D01_DXXX,1640.5908, 335.0, 1.043, 0.037, 1.054
1645ML0085100020700191D01_DXXX,1645.3368, 337.6, 1.221, 0.036, 1.200
1645ML0085160020700198D01_DXXX,1645.6770, 337.8, 1.072, 0.035, 1.094
1649ML0085340020700433D01_DXXX,1649.2928, 339.8, 1.246, 0.035, 1.222
1649ML0085400020700465D01_DXXX,1649.5931, 339.9, 1.042, 0.037, 1.054
1649ML0085430020700470D01_DXXX,1649.6741, 340.0, 1.054, 0.036, 1.076
1653ML0085690020700506D01_DXXX,1653.6173, 342.1, 1.001, 0.036, 1.015
1658ML0086040020700534D01_DXXX,1658.3083, 344.7, 1.059, 0.035, 1.035
1658ML0086100020700539D01_DXXX,1658.6202, 344.8, 0.956, 0.036, 0.972
1660ML0086220020700561D01_DXXX,1660.6285, 345.9, 0.936, 0.036, 0.952
1663ML0086300020700569D01_DXXX,1663.4135, 347.4, 0.993, 0.036, 0.982
1666ML0086490020700611D01_DXXX,1666.6370, 349.1, 0.907, 0.036, 0.924
1670ML0086570020700638D01_DXXX,1670.2955, 351.0, 1.023, 0.035, 0.999
1670ML0086600020700644D01_DXXX,1670.5935, 351.2, 0.942, 0.036, 0.954
1673ML0086810020700688D01_DXXX,1673.6194, 352.8, 0.860, 0.036, 0.875
1674ML0086870020700690D01_DXXX,1674.6685, 353.4, 0.886, 0.035, 0.907
1675ML0086890020700695D01_DXXX,1675.3320, 353.7, 0.958, 0.035, 0.937
1675ML0086950020700698D01_DXXX,1675.5944, 353.8, 0.870, 0.036, 0.882
1679ML0087170020700774D01_DXXX,1679.6333, 356.0, 0.881, 0.036, 0.898
1683ML0087510020700837D01_DXXX,1683.2771, 357.8, 0.924, 0.035, 0.900
1683ML0087550020700848D01_DXXX,1683.6282, 358.0, 0.909, 0.036, 0.925
1686ML0087740020700906D01_DXXX,1686.5884, 359.5, 0.882, 0.036, 0.893
1690ML0087960020701084D01_DXXX,1690.6083,   1.6, 0.827, 0.036, 0.841
1692ML0087980020701144D01_DXXX,1692.3390,   2.5, 0.897, 0.036, 0.877
1692ML0088180020701147D01_DXXX,1692.6809,   2.6, 0.867, 0.035, 0.889
1693ML0088200020701148D01_DXXX,1693.3840,   3.0, 0.857, 0.036, 0.843
1693ML0088250020701172D01_DXXX,1693.6075,   3.1, 0.849, 0.036, 0.863
1693ML0088280020701174D01_DXXX,1693.6467,   3.1, 0.849, 0.036, 0.867
1698ML0088490020701226D01_DXXX,1698.2751,   5.5, 0.855, 0.035, 0.832
1698ML0088580020701238D01_DXXX,1698.6146,   5.7, 0.864, 0.036, 0.879
1698ML0088620020701249D01_DXXX,1698.7269,   5.7, 0.903, 0.035, 0.926
1700ML0088690020701266D01_DXXX,1700.6428,   6.7, 0.887, 0.036, 0.905
1703ML0088890020701293D01_DXXX,1703.6323,   8.2, 0.808, 0.036, 0.824
1704ML0088910020701298D01_DXXX,1704.3087,   8.5, 0.827, 0.035, 0.803
1707ML0089070020701321D01_DXXX,1707.6389,  10.2, 0.811, 0.036, 0.828
1712ML0089270020701354D01_DXXX,1712.3025,  12.5, 0.752, 0.035, 0.728
1712ML0089360020701373D01_DXXX,1712.6077,  12.6, 0.764, 0.036, 0.777
1715ML0089520020701409D01_DXXX,1715.5917,  14.1, 0.746, 0.036, 0.757
1716ML0089610020701411D01_DXXX,1716.3470,  14.5, 0.752, 0.036, 0.733
1716ML0089680020701417D01_DXXX,1716.5840,  14.6, 0.721, 0.036, 0.732
